Timestamp,time,use [kW],gen [kW],House overall [kW],Dishwasher [kW],Furnace 1 [kW],Furnace 2 [kW],Home office [kW],Fridge [kW],Wine cellar [kW],Garage door [kW],Kitchen 12 [kW],Kitchen 14 [kW],Kitchen 38 [kW],Barn [kW],Well [kW],Microwave [kW],Living room [kW],Solar [kW],temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,windBearing,precipIntensity,dewPoint,precipProbability
2016-01-01 05:00:00,1451624849.5,1.0703877037133334,0.019201851861111112,1.0703877037133334,0.032599671304444446,0.20311027778444443,0.23881329631,0.06068940740111111,0.06751224074666666,0.030407055553333333,0.013241370356666666,0.0005882777777777777,0.012084259667777777,1.2180111111111111e-05,0.03302062963666667,0.024284185264444445,0.009213499996666666,0.0695069259288889,0.019201851861111112,35.98162222222222,0.6270666666666667,9.969000000000001,30.266244444444443,1015.2588000000001,7.175066666666666,264.3822222222222,0.0,24.498977777777778,0.0
2016-01-01 05:15:00,1451625749.5,1.3069555370400001,0.003300981426666667,1.3069555370400001,0.10359778068111111,0.18925509258777778,0.22291437037,0.12084892591888889,0.07738744443777777,0.007159944446666667,0.01312953704222222,0.0006187960511111111,0.007046705012222222,1.1125666666666667e-05,0.10517557407555556,0.015654555627777778,0.012832481475555555,0.041255981478888884,0.003300981426666667,31.346622222222223,0.6335777777777778,9.652066666666668,24.19371111111111,1013.8176666666667,7.805133333333333,265.46444444444444,0.0001417777777777778,20.340666666666667,0.002577777777777778
2016-01-01 05:30:00,1451626649.5,1.4521037777733332,0.08247416663222222,1.4521037777733332,0.028766743821111114,0.2503961296155555,0.24330203705555556,0.07834937035999999,0.06848461110111112,0.02247788888222222,0.013577037057777777,0.0006605555588888889,0.016444000233333332,1.0718000000000001e-05,0.18442166665666668,0.03768224078,0.007402574076666666,0.06714614812111111,0.08247416663222222,33.0226,0.5454444444444444,10.0,26.05688888888889,1014.6317111111111,8.258733333333334,257.1377777777778,0.0,18.341755555555554,0.0
2016-01-01 05:45:00,1451627549.5,0.919656166651111,0.04716451852333333,0.919656166651111,0.05538255618555555,0.19344300000777775,0.23904170370444447,0.10737188889111111,0.052472111121111116,0.019018814831111112,0.013544074072222223,0.0007474443866666667,0.0088457231,1.0809888888888889e-05,0.06557733333888889,0.011150111173333333,0.005935111104444444,0.015109833345555556,0.04716451852333333,31.69051111111111,0.6328222222222222,10.0,24.786977777777775,1009.5876888888889,7.6956444444444445,214.9622222222222,0.0,20.512244444444445,0.0
2016-01-01 06:00:00,1451628449.5,1.185477574078889,0.03652305555222222,1.185477574078889,0.03321359833,0.1404554074177778,0.22061496295222222,0.19156279630555556,0.05084212963333334,0.02034381481,0.013360277787777777,0.0007002776877777778,0.011047649216666667,1.1401222222222223e-05,0.11121725924222221,0.027577925966666667,0.022560037025555556,0.03176438888777778,0.03652305555222222,32.90191111111111,0.6549111111111111,9.854088888888889,26.142533333333333,1009.7964888888888,8.0032,269.97777777777776,0.0,22.344199999999997,0.0
2016-01-01 06:15:00,1451629349.5,1.0030227777733334,0.11854351852777777,1.0030227777733334,0.06538702367,0.24406731481444446,0.23017948147222222,0.0805937222188889,0.04635225928444445,0.019158018512222222,0.013612648151111111,0.0008549814955555556,0.010826834742222222,1.0292333333333333e-05,0.029754055525555555,0.03249977782111111,0.01373498149111111,0.06855020371000001,0.11854351852777777,19.310577777777777,0.5368444444444445,9.834,6.454177777777778,1018.6796,12.682644444444444,339.64666666666665,0.0,5.212466666666667,0.0
2016-01-01 06:30:00,1451630249.5,1.5113824999999999,0.0051747037233333334,1.5113824999999999,0.08100396457222223,0.3107653333388889,0.33542866667,0.11642044443555556,0.06862740741222222,0.018304037015555556,0.013006074066666668,0.0006007221544444445,0.015293816742222223,9.996e-06,0.034710555545555556,0.01898275930666667,0.00908937037888889,0.06315481481444445,0.0051747037233333334,7.833444444444445,0.5729333333333333,10.0,-5.061333333333333,1032.508911111111,8.838622222222222,304.05333333333334,0.0,-4.221955555555556,0.0
2016-01-01 06:45:00,1451631149.5,0.7788954074022223,0.1607208703877778,0.7788954074022223,0.00011159823555555555,0.2529607777622222,0.2215509444511111,0.13710142593444444,0.04380518518,0.018841666664444444,0.014424111107777778,0.0005932591988888888,0.00019894548555555555,9.586888888888887e-06,0.03570444444111111,0.011521833373333333,0.011083240754444444,0.009106962964444444,0.1607208703877778,15.05408888888889,0.5714,9.979133333333333,11.530511111111112,1035.6596444444444,3.625111111111111,261.6311111111111,0.0,1.4172444444444445,0.0
2016-01-01 07:00:00,1451632049.5,0.7868923148222222,0.13998277777777776,0.7868923148222222,0.00010665259444444446,0.26959931481,0.2343016296333333,0.08111368519222222,0.04020124074,0.01688309257777778,0.013671000002222223,0.0006002962988888888,0.007553205403333333,9.809777777777778e-06,0.029981111115555556,0.011757166717777778,0.004200703714444445,0.038973203712222224,0.13998277777777776,22.663822222222223,0.5159333333333334,9.939733333333333,18.144044444444443,1032.3656222222223,4.2960666666666665,217.5822222222222,0.0,5.189866666666667,0.0
2016-01-01 07:15:00,1451632949.5,1.0716647777888888,0.013239888877777778,1.0716647777888888,0.07631891052,0.2079848703722222,0.21111164815444444,0.12168811111777778,0.049795944448888886,0.01947140741888889,0.013545407397777778,0.0005910001166666666,0.006627742412222222,9.013222222222222e-06,0.03443524074111111,0.00867638898888889,0.02297075929333333,0.014878055556666667,0.013239888877777778,18.257311111111115,0.6921777777777778,9.897311111111112,15.722800000000001,1028.3755555555556,2.7891333333333335,219.26,0.0,9.583955555555555,0.0
